Variable,Label,Mean,Min,Max,StdDev,Valid,Invalid,Variance
undockid,"US CITIZENSHIP FOR CHILDREN OF ILLEGAL IMMIGRANTS",1.483,1.0,2.0,0.5,1365.0,58234.0,0.25
immpush,"ARE IMMIGRANTS DEMANDING TOO MANY RIGHTS?",2.353,1.0,5.0,1.108,1383.0,58216.0,1.227
immwrkup,"SHOULD IMMIGRANTS OVERCOME BIAS WITHOUT HELP",1.907,1.0,5.0,0.884,1427.0,58172.0,0.781
colaff,"CHANCE BLACKS GET TO COLLEGE AHEAD OF WHITES",2.017,1.0,3.0,0.751,713.0,58886.0,0.564
colaffy,"CHANCE WHITES EXCLUDED FROM COLLEGE OVER BLACKS",2.004,1.0,3.0,0.756,675.0,58924.0,0.571
discaffy,"CHANCE BLACKS PROMOTED AHEAD OF WHITES",2.063,1.0,3.0,0.77,682.0,58917.0,0.594
jobaff,"FAVOR PREFERENCES IN HIRING BLACKS",3.387,1.0,4.0,0.966,1384.0,58215.0,0.933
owneth,"DO ETHIC POLITICIANS SERVE ETHNIC GROUPS BETTER",1.648,1.0,2.0,0.478,1411.0,58188.0,0.228
congeth,"SHOULD ETHNIC CONGRESSMEN RESPRESENT ETHNIC GROUPS",1.907,1.0,2.0,0.29,1410.0,58189.0,0.084
teacheth,"ETHNICITY OF COLLEGE FACULTY REFLECT STUDENTS",1.919,1.0,2.0,0.272,1425.0,58174.0,0.074
schleth,"ETHNICITY OR PROFESSIONAL SCHOOLS MIRROR STUDENTS",1.942,1.0,2.0,0.234,1411.0,58188.0,0.055
ethhist,"MINORITY HISTORY ADDEQUATELY TAUGHT IN SCHOOL",2.233,1.0,3.0,0.84,1270.0,58329.0,0.705
whoteach,"SHOULD ONLY MINORITIES TEACH MINORITY HISTORY",3.184,1.0,5.0,1.03,1396.0,58203.0,1.061
whtgovt,"DO WHITES GET PROPER GOVT ATTENTION",2.986,1.0,5.0,0.901,1412.0,58187.0,0.812
blkgovt,"DO BLACKS GET PROPER GOVT ATTENTION",2.704,1.0,5.0,1.123,1420.0,58179.0,1.261
hspgovt,"DO HISPANIC-AMERICANS GET PROPER GOVT ATTENTION",2.948,1.0,5.0,1.0,1361.0,58238.0,0.999
asngovt,"DO ASIAN-AMERICANS GET PROPER GOVT ATTENTION",3.006,1.0,5.0,0.977,1321.0,58278.0,0.955
wlthimm,"ARE LEGAL IMMIGRANTS RICH OR POOR",4.717,1.0,7.0,1.269,1341.0,58258.0,1.61
wlthundc,"ARE ILLEGAL IMMIGRANTS RICH OR POOR",6.058,1.0,7.0,1.337,1344.0,58255.0,1.788
workimm,"ARE LEGAL IMMIGRANTS HARD WORKING",3.53,1.0,7.0,1.277,1324.0,58275.0,1.631
workundc,"ARE ILLEGAL IMMIGRANTS HARD WORKING",3.919,1.0,7.0,1.736,1280.0,58319.0,3.015
obrespct,"TEACH CHILDREN RESPECT FOR AUTHORITY AND OBEDIENCE",1.894,1.0,4.0,0.772,1447.0,58152.0,0.596
econpast,"HAS NATIONAL ECONOMY IMPROVED LAST YEAR",2.033,1.0,3.0,0.748,1445.0,58154.0,0.559
pastup,"DEGREE OF IMPROVEMENT IN NATIONAL ECONOMY",1.91,1.0,2.0,0.286,379.0,59220.0,0.082
pastdown,"DEGREE NATIONAL ECONOMY HAS GOTTEN WORSE",1.701,1.0,2.0,0.458,421.0,59178.0,0.21
econfutr,"PREDICTIONS FOR NATIONAL ECONOMY IN NEXT YEAR",1.877,1.0,3.0,0.668,1425.0,58174.0,0.446
futrup,"DEGREE ECONOMY WILL IMPROVE IN NEXT YEAR",1.854,1.0,2.0,0.354,411.0,59188.0,0.125
futrdown,"DEGREE ECONOMY WILL GET WORSE OVER NEXT YEAR",1.769,1.0,2.0,0.422,234.0,59365.0,0.178
rdiscaff,"CHANCES FAMILY MEMBER NOT PROMOTED FOR OTHER RACE",2.616,1.0,4.0,1.035,1369.0,58230.0,1.072
rimmdisc,"CHANCES ILLEGAL IMMIGRANTS FAVORED OVER FAMILY",2.94,1.0,4.0,0.98,1342.0,58257.0,0.961
romance,"DO YOU HAVE A MAIN ROMANTIC INVOLVEMENT",1.592,1.0,3.0,0.497,1437.0,58162.0,0.247
livewith,"DO YOU LIVE TOGETHER?",1.695,1.0,2.0,0.461,591.0,59008.0,0.212
haprom,"DESCRIBE YOUR ROMANTIC RELATIONSHIP?",1.59,1.0,3.0,0.592,317.0,59282.0,0.35
willwed1,"HOW LIKELY YOU TWO WILL GET MARRIED?",2.167,1.0,4.0,1.082,563.0,59036.0,1.171
willwed2,"IF RIGHT PERSON WOULD YOU MARRY?",1.471,1.0,2.0,0.499,773.0,58826.0,0.249
hapgirls,"GIRLS' CHANCES FOR A HAPPY FAMILY LIFE",2.162,1.0,3.0,0.732,1423.0,58176.0,0.536
hapboys,"BOYS' CHANCES FOR A HAPPY FAMILY LIFE",2.173,1.0,3.0,0.709,1415.0,58184.0,0.503
fejobaff,"FOR OR AGAINST PREFERENTIAL HIRING OF WOMEN",2.877,1.0,4.0,1.152,6323.0,53276.0,1.328
tradmod,"MAN ALONE-BOTH RESPONSIBLE FOR PROVIDING INCOME",1.703,1.0,2.0,0.457,1451.0,58148.0,0.209
sharesep,"MAN AND WOMAN DO THINGS TOGETHER-SEPARATE",1.228,1.0,2.0,0.42,1427.0,58172.0,0.176
emoteoth,"MAN AND WOMAN EMOTIONALLY DEPENDENT-INDEPENDENT",1.545,1.0,2.0,0.498,1411.0,58188.0,0.248
rhmewrk,"HOW MUCH HOUSEWORK R DOES",2.334,1.0,5.0,1.18,1450.0,58149.0,1.392
sphmewrk,"HOW MUCH HOUSEWORK R'S SPOUSE DOES",3.308,1.0,5.0,0.953,763.0,58836.0,0.909
fairhwrk,"DIVISION OF WORK UNFAIR TO YOU OR SPOUSE",1.341,1.0,3.0,0.664,759.0,58840.0,0.441
earnmore,"WHO EARNS MORE MONEY?",2.878,1.0,5.0,1.668,755.0,58844.0,2.781
famlife,"HOW SUCCESSFUL IN FAMILY LIFE",3.563,1.0,5.0,0.859,1443.0,58156.0,0.739
worklife,"HOW SUCCESSFUL IN WORK LIFE",3.447,1.0,5.0,0.817,986.0,58613.0,0.668
balwkfam,"HOW SUCCESSFUL BALANCING WORK & FAMILY",3.261,1.0,5.0,0.814,973.0,58626.0,0.662
refpromo,"REFUSE A JOB PROMOTION?",1.89,1.0,2.0,0.314,1340.0,58259.0,0.098
refmorwk,"TAKE ON ADDITIONAL PAID WORK?",1.614,1.0,2.0,0.487,1342.0,58257.0,0.237
refxhour,"REFUSE TO WORK OVERTIME OR EXTRA HOURS?",1.775,1.0,2.0,0.418,1343.0,58256.0,0.174
workless,"CUT BACK ON YOUR WORK?",1.769,1.0,2.0,0.422,1345.0,58254.0,0.178
noathome,"MISS A FAMILY OCCASION OR HOLIDAY?",1.502,1.0,2.0,0.5,1351.0,58248.0,0.25
nonurse,"UNABLE TO CARE FOR A SICK CHILD-RELATIVE?",1.828,1.0,2.0,0.378,1351.0,58248.0,0.143
nohmewrk,"UNABLE TO DO THE WORK AROUND THE HOUSE?",1.532,1.0,2.0,0.499,1351.0,58248.0,0.249
discaffm,"A MAN WON'T GET A JOB OR PROMOTION",2.517,1.0,4.0,0.911,6115.0,53484.0,0.831
discaffw,"A WOMAN WON'T GET A JOB OR PROMOTION",2.13,1.0,4.0,0.871,6122.0,53477.0,0.759
flextime,"ALLOW WORKERS MORE FLEXIBLE HOURS",1.1,1.0,2.0,0.3,1416.0,58183.0,0.09
parleave,"OFFER PAID TIME OFF TO NEW PARENTS.",1.242,1.0,2.0,0.429,1395.0,58204.0,0.184
menben,"MEN BENEFIT FROM TRADITIONAL FAMILY",1.462,1.0,2.0,0.499,1067.0,58532.0,0.249
womenben,"WOMEN BENEFIT FROM TRADITIONAL FAMILY",1.546,1.0,2.0,0.498,1049.0,58550.0,0.248
chldben,"CHILDREN BENEFIT FROM TRADITIONAL FAMILY",1.338,1.0,2.0,0.473,1093.0,58506.0,0.224
allben,"EVERYONE BENEFIT FROM TRADITIONAL FAMILY",1.322,1.0,2.0,0.467,1234.0,58365.0,0.218
nooneben,"NO ONE BENEFIT FROM TRADITIONAL FAMILY",1.851,1.0,2.0,0.356,1002.0,58597.0,0.127
menhrt,"MEN HURT FROM TRADITIONAL FAMILY",1.795,1.0,2.0,0.404,1010.0,58589.0,0.163
womenhrt,"WOMEN HURT FROM TRADITIONAL FAMILY",1.637,1.0,2.0,0.481,994.0,58605.0,0.232
chldhrt,"CHILDREN HURT FROM TRADITIONAL FAMILY",1.798,1.0,2.0,0.401,977.0,58622.0,0.161
allhrt,"EVERYONE HURT FROM TRADITIONAL FAMILY",1.823,1.0,2.0,0.382,970.0,58629.0,0.146
noonehrt,"NO ONE HURT FROM TRADITIONAL FAMILY",1.475,1.0,2.0,0.5,1161.0,58438.0,0.25
feless1,"HOW IMPORTANT MEN WORK HARDER EXPLAIN",3.345,1.0,4.0,1.003,1397.0,58202.0,1.007
feless2,"HOW IMPORTANT WOMENS FAMILY RESPONSIBILITIES",2.738,1.0,4.0,1.065,1396.0,58203.0,1.134
feless3,"HOW IMPORTANT GIVE MEN BETTER PAYING JOBS",2.285,1.0,4.0,1.109,1389.0,58210.0,1.23
fekids1,"HOW IMPORTANT WOMEN BIOLOGICALLY BETTER-SUITED",2.252,1.0,4.0,1.104,1434.0,58165.0,1.219
fekids2,"HOW IMPORTANT WOMEN ARE TAUGHT FROM CHILDHOOD",2.196,1.0,4.0,1.047,1440.0,58159.0,1.097
fekids3,"HOW IMPORTANT THE WAY SOCIETY IS SET UP",2.562,1.0,4.0,1.08,1415.0,58184.0,1.167
fekids4,"HOW IMPORTANT MEN HAVE MORE FREEDOM",2.713,1.0,4.0,1.109,1399.0,58200.0,1.229
fekids5,"HOW IMPORTANT IT IS GOD'S WILL",2.959,1.0,4.0,1.195,1396.0,58203.0,1.427
mebear,"CAN HUSBAND REFUSE TO SIRE CHILDREN",1.388,1.0,2.0,0.488,598.0,59001.0,0.238
fehire,"SHOULD HIRE AND PROMOTE WOMEN",2.47,1.0,5.0,1.127,7003.0,52596.0,1.269
feminist,"THINK YOURSELF AS A FEMINIST?",1.784,1.0,2.0,0.412,1381.0,58218.0,0.169
fenews,"HOW OFTEN PAY ATTENTION TO WOMEN ISSUES",2.184,1.0,4.0,0.83,1453.0,58146.0,0.689
hmemaker,"FULL-TIME HOMEMAKERS LIVES IMPROVED",1.935,1.0,3.0,0.881,1349.0,58250.0,0.776
wrkclass,"WORKING-CLASS WOMENS LIVES IMPROVED",1.345,1.0,3.0,0.715,1363.0,58236.0,0.511
manprof,"PROFESSIONAL WOMENS LIVES IMPROVED",1.213,1.0,3.0,0.578,1358.0,58241.0,0.334
men,"MENS LIVES IMPROVED",2.043,1.0,3.0,0.823,1343.0,58256.0,0.678
children,"CHILDRENS LIVES IMPROVED",1.803,1.0,3.0,0.799,1307.0,58292.0,0.638
yourself,"R'S LIFE IMPROVED",2.173,1.0,3.0,0.959,1407.0,58192.0,0.92
shakeblu,"FELT THAT COULDN'T SHAKE THE BLUES?",1.212,0.0,7.0,1.845,1444.0,58155.0,3.405
calm,"FELT CALM?",4.573,0.0,7.0,2.352,1449.0,58150.0,5.532
outraged,"FELT OUTRAGED AT SOMETHING SOMEBODY",1.504,0.0,7.0,1.871,1448.0,58151.0,3.502
hapfeel,"FELT HAPPY?",5.267,0.0,7.0,2.046,1451.0,58148.0,4.188
sad,"FELT SAD?",1.64,0.0,7.0,1.925,1449.0,58150.0,3.704
ashamed,"FELT ASHAMED OF SOMETHING YOU'D DONE?",0.47,0.0,7.0,1.146,1450.0,58149.0,1.313
excited,"FELT EXCITED OR INTERESTED IN SOMETHING?",3.602,0.0,7.0,2.319,1449.0,58150.0,5.376
lonely,"FELT LONELY?",1.497,0.0,7.0,2.21,1450.0,58149.0,4.882
fearful,"FELT FEARFUL ABOUT SOMETHING",1.17,0.0,7.0,1.945,1447.0,58152.0,3.782
ovrjoyed,"FELT OVERJOYED ABOUT SOMETHING?",1.78,0.0,7.0,2.143,1444.0,58155.0,4.592
worried,"FELT WORRIED?",2.82,0.0,7.0,2.717,1450.0,58149.0,7.38
contentd,"FELT CONTENTED?",4.555,0.0,7.0,2.462,1438.0,58161.0,6.059
anxious,"FELT ANXIOUS AND TENSE?",2.258,0.0,7.0,2.26,1440.0,58159.0,5.106
restless,"FELT RESTLESS?",1.517,0.0,7.0,2.271,1444.0,58155.0,5.156
madat,"FELT MAD AT SOMETHING OR SOMEONE?",1.668,0.0,7.0,1.927,1449.0,58150.0,3.714
atease,"FELT AT EASE?",4.552,0.0,7.0,2.37,1443.0,58156.0,5.616
angry,"FELT ANGRY AT SOMEONE?",1.484,0.0,7.0,1.79,1451.0,58148.0,3.203
embarrss,"FELT EMBARRASSED ABOUT SOMETHING?",0.594,0.0,7.0,1.223,1450.0,58149.0,1.495
proud,"FELT PROUD OF SOMETHING YOU'D DONE?",2.986,0.0,7.0,2.353,1442.0,58157.0,5.538
noplan,"THERE'S NO SENSE PLANNING A LOT",3.069,1.0,5.0,1.258,1450.0,58149.0,1.583
badbrks,"MOST OF MY PROBLEMS ARE DUE TO BAD BREAKS.",3.719,1.0,5.0,1.027,1446.0,58153.0,1.055
mostluck,"GOOD THINGS ARE MOSTLY LUCK.",3.741,1.0,5.0,0.982,1449.0,58150.0,0.964
litcntrl,"I HAVE LITTLE CONTROL OVER THE BAD THINGS",3.393,1.0,5.0,1.129,1441.0,58158.0,1.275
showangr,"WHEN I'M ANGRY I LET PEOPLE KNOW.",2.566,1.0,5.0,1.165,1450.0,58149.0,1.358
showfeel,"I'M NOT AFRAID TO SHOW MY FEELINGS.",2.38,1.0,5.0,1.097,744.0,58855.0,1.202
noemote,"I KEEP MY EMOTIONS TO MYSELF.",3.067,1.0,5.0,1.187,741.0,58858.0,1.409
notupset,"DON'T TELL FRIENDS SOMETHING UPSETTING",2.595,1.0,5.0,1.04,749.0,58850.0,1.081
beplesnt,"I TRY TO BE PLEASANT SO NOT TO UPSET OTH.",2.19,1.0,5.0,0.835,749.0,58850.0,0.697
notworry,"WHEN ANXIOUS, TRY NOT TO WORRY ANYONE ELSE.",2.337,1.0,5.0,0.903,751.0,58848.0,0.816
angrywrk,"LAST TIME R FELT REALLY ANGRY",1.621,1.0,2.0,0.485,1002.0,58597.0,0.236
angryfam,"LAST TIME R FELT REALLY ANGRY",1.692,1.0,2.0,0.462,1031.0,58568.0,0.214
angrygvt,"LAST TIME R FELT REALLY ANGRY",1.909,1.0,2.0,0.287,1101.0,58498.0,0.083
angrywhy,"LAST TIME R FELT REALLY ANGRY",16.697,1.0,90.0,20.245,1125.0,58474.0,409.879
angryev,"WAS AN EVENT RECALLED?",1.228,1.0,2.0,0.42,1458.0,58141.0,0.176
whnangry,"HOW LONG AGO DID THIS EVENT HAPPEN?",3.215,1.0,5.0,0.964,1115.0,58484.0,0.928
madat1,"ANGRY AT MY HUSBAND-WIFE ETC",1.86,1.0,2.0,0.347,1118.0,58481.0,0.12
madat2,"ANGRY AT SON",1.952,1.0,2.0,0.214,1118.0,58481.0,0.046
madat3,"ANGRY AT DAUGHTER",1.962,1.0,2.0,0.192,1118.0,58481.0,0.037
madat4,"ANGRY AT MOTHER",1.99,1.0,2.0,0.099,1118.0,58481.0,0.01
madat5,"ANGRY AT FATHER",1.996,1.0,2.0,0.067,1118.0,58481.0,0.004
madat6,"ANGRY AT SISTER",1.992,1.0,2.0,0.089,1118.0,58481.0,0.008
madat7,"ANGRY AT BROTHER",1.989,1.0,2.0,0.103,1118.0,58481.0,0.011
madat8,"ANGRY AT ANOTHER FAMILY MEMBER",1.96,1.0,2.0,0.197,1118.0,58481.0,0.039
madat9,"ANGRY AT A FRIEND",1.948,1.0,2.0,0.222,1118.0,58481.0,0.049
madat10,"ANGRY AT AN ACQUAINTANCE",1.969,1.0,2.0,0.174,1118.0,58481.0,0.03
madat11,"ANGRY AT A NEIGHBOR",1.978,1.0,2.0,0.148,1118.0,58481.0,0.022
madat12,"ANGRY AT MY BOSS",1.89,1.0,2.0,0.313,1118.0,58481.0,0.098
madat13,"ANGRY AT A CO-WORKER",1.886,1.0,2.0,0.317,1118.0,58481.0,0.101
madat14,"ANGRY AT SUBORDINATE",1.968,1.0,2.0,0.177,1118.0,58481.0,0.031
madat15,"ANGRY AT A CUSTOMER OR CLIENT",1.971,1.0,2.0,0.167,1118.0,58481.0,0.028
madat16,"ANGRY AT SOMEONE ELSE AT WORK",1.971,1.0,2.0,0.167,1118.0,58481.0,0.028
madat17,"ANGRY AT GOVERNMENT EMPLOYEE",1.968,1.0,2.0,0.177,1118.0,58481.0,0.031
madat18,"ANGRY AT SOMEONE TO PROVIDE A SERVICE",1.961,1.0,2.0,0.195,1118.0,58481.0,0.038
madat19,"ANGRY AT PUBLIC FIGURE",1.977,1.0,2.0,0.151,1118.0,58481.0,0.023
madat20,"ANGRY AT STRANGER (INCLUDE CROWDS)",1.97,1.0,2.0,0.172,1118.0,58481.0,0.03
madat21,"ANGRY AT SELF",1.955,1.0,2.0,0.207,1118.0,58481.0,0.043
madat22,"ANGRY AT AN OBJECT, CIRCUMSTANCES, ETC",1.917,1.0,2.0,0.276,1118.0,58481.0,0.076
madat23,"NGRY AT OTHER",6.16,1.0,8.0,2.601,131.0,59468.0,6.766
howangry,"HOW INTENSE WOULD YOU SAY YOUR ANGER WAS",6.232,0.0,10.0,2.449,1115.0,58484.0,5.995
angrlast,"HOW LONG DID YOUR ANGER LAST?",3.532,1.0,6.0,1.48,1117.0,58482.0,2.19
thnkangr,"HOW OFTEN THOUGHT ABOUT THIS SITUATION",2.626,1.0,4.0,0.998,943.0,58656.0,0.997
chnang1,"THINK ABOUT THE SITUATION",1.652,1.0,2.0,0.477,1114.0,58485.0,0.227
chnang2,"HAD A DRINK OR TOOK A PILL",1.939,1.0,2.0,0.24,1114.0,58485.0,0.057
chnang3,"TALKED TO THE PERSON I WAS ANGRY AT",1.635,1.0,2.0,0.482,1114.0,58485.0,0.232
chnang4,"TALKED TO SOMEONE ELSE",1.412,1.0,2.0,0.492,1114.0,58485.0,0.242
chnang5,"TRIED TO FORGET IT",1.69,1.0,2.0,0.463,1114.0,58485.0,0.214
chnang6,"TRIED TO CHANGE THE SITUATION",1.733,1.0,2.0,0.442,1114.0,58485.0,0.196
chnang7,"PRAYED FOR HELP FROM GOD",1.722,1.0,2.0,0.448,1114.0,58485.0,0.201
chnang8,"FANTASIZED ABOUT A MAGICAL SOLUTION",1.932,1.0,2.0,0.252,1114.0,58485.0,0.064
chnang9,"WENT OUT TO GET SOME EXERCISE",1.856,1.0,2.0,0.351,1114.0,58485.0,0.123
chnang10,"YELLED OR HIT SOMETHING",1.921,1.0,2.0,0.27,1114.0,58485.0,0.073
chnang11,"WAITED FOR FEELINGS TO PASS",1.707,1.0,2.0,0.455,1114.0,58485.0,0.207
chnang12,"TRIED TO ACCEPT THE SITUATION",1.541,1.0,2.0,0.499,1114.0,58485.0,0.249
chnang13,"LEFT THE SITUATION",1.844,1.0,2.0,0.363,1114.0,58485.0,0.132
chnang14,"THOUGHT ABOUT HOW TO GET REVENGE",1.938,1.0,2.0,0.241,1114.0,58485.0,0.058
chnang15,"PLANNED HOW TO END THE RELATIONSHIP",1.902,1.0,2.0,0.297,1114.0,58485.0,0.088
chnang16,"OTHER (SPECIFY)",1.957,1.0,2.0,0.203,1114.0,58485.0,0.041
reactok,"DID R FEEL REACTION WAS APPROPRIATE",3.672,0.0,10.0,3.329,1113.0,58486.0,11.084
othresp,"HOW RESP. PERSON WHO YOU WERE ANGRY AT?",7.896,0.0,10.0,2.797,966.0,58633.0,7.826
selfresp,"HOW RESP. DO YOU FEEL FOR THE SITUATION?",2.185,0.0,10.0,2.766,964.0,58635.0,7.652
likeoth,"HOW MUCH DO YOU LIKE OR DISLIKE THE PERSON",2.912,1.0,7.0,1.732,962.0,58637.0,3.001
amimp,"HOW IMPORTANT IS BEING AN AMERICAN TO YOU",8.161,0.0,10.0,2.321,690.0,58909.0,5.389
notam,"IF NOT AMERICAN, HOW MUCH CHANGE",2.643,1.0,7.0,1.503,624.0,58975.0,2.259
usworry,"HOW OFTEN DO YOU FEEL WORRIED FOR US?",3.157,1.0,5.0,0.936,700.0,58899.0,0.877
ussat,"THINKING US HOW OFTEN FEEL SATISFIED",2.587,1.0,5.0,0.848,697.0,58902.0,0.72
usfrustr,"THINKING US HOW OFTEN FEEL FRUSTRATED?",3.121,1.0,5.0,0.896,696.0,58903.0,0.803
usenthus,"THINKING US HOW OFTEN FEEL ENTHUSIASTIC?",2.759,1.0,5.0,0.993,692.0,58907.0,0.985
usangry,"THINKING US HOW OFTEN FEEL ANGRY",3.551,1.0,5.0,0.859,695.0,58904.0,0.738
ushopefl,"THINKING US HOW OFTEN FEEL HOPEFUL?",2.344,1.0,5.0,0.964,692.0,58907.0,0.929
usupset,"THINKING US HOW OFTEN FEEL UPSET?",3.428,1.0,5.0,0.854,699.0,58900.0,0.729
carprivt,"HAVE YOU PURCHASED A USED CAR PAST 5 YRS?",1.66,1.0,2.0,0.474,735.0,58864.0,0.225
relprivt,"RELATIONSHIP TO THE SELLER OF THE VEHICLE",3.472,1.0,5.0,1.616,250.0,59349.0,2.612
warrntyc,"DID THE SELLER PROVIDE A WARRANTY?",2.86,1.0,3.0,0.46,243.0,59356.0,0.212
cardealr,"PURCHASED A CAR FROM A DEALERSHIP PAST 5 YRS?",1.452,1.0,2.0,0.498,728.0,58871.0,0.248
newused,"WAS THE CAR NEW OR USED?",1.478,1.0,2.0,0.5,400.0,59199.0,0.25
typdealr,"R  WAS THE AGENCY A NEW OR USED CAR DEALERSHIP?",1.387,1.0,2.0,0.488,186.0,59413.0,0.239
carbuya,"R'S OWN PREVIOUS KNOWLEDGE MADE R BUY",1.612,1.0,2.0,0.488,330.0,59269.0,0.238
carbuyb,"A FRIEND OR RELATIVE RECOMMENDED R BUY",1.648,1.0,2.0,0.478,315.0,59284.0,0.229
carbuyc,"AN ACQUAINTANCE RECOMMENDED R BUY",1.875,1.0,2.0,0.331,305.0,59294.0,0.109
carbuyd,"GENERAL REPUTATION MADE R BUY",1.661,1.0,2.0,0.474,316.0,59283.0,0.225
carbuye,"R SAW THEIR ADVERTISEMENT",1.741,1.0,2.0,0.439,305.0,59294.0,0.193
carbuyf,"R SEARCHED FOR THE BEST PRICE",1.497,1.0,2.0,0.501,334.0,59265.0,0.251
carbuyg,"CONVENIENCE MADE R BUY",1.627,1.0,2.0,0.484,324.0,59275.0,0.235
carbuy1,"WHAT WAS THE MOST IMPORTANT REASON?",4.306,1.0,7.0,2.158,186.0,59413.0,4.657
reldealr,"R RELATIONSHIP TO THE SALESPERSON",4.354,1.0,5.0,1.139,396.0,59203.0,1.297
satcar,"HOW SATISFIED ARE YOU WITH YOUR PURCHASE?",2.422,1.0,3.0,0.653,396.0,59203.0,0.427
evbuyhme,"E HAVE YOU EVER PURCHASED A HOME",1.36,1.0,2.0,0.48,708.0,58891.0,0.231
homeyear,"R  MOST RECENT HOME YOU HAVE PURCHASED.",83.907,40.0,96.0,11.778,451.0,59148.0,138.725
learnhme,"E HOW LEARNED THE AVAILABILITY OF THE HOME",3.941,1.0,6.0,1.56,444.0,59155.0,2.434
newowned,"D WAS THE HOME NEW OR PREVIOUSLY OWNED?",1.704,1.0,2.0,0.457,452.0,59147.0,0.209
relhome,"RELATIONSHIP TO THE PREVIOUS OWNER OF THE HOME",4.327,1.0,5.0,1.31,318.0,59281.0,1.716
whosold,"DESCRIBE YOUR PURCHASE",2.664,1.0,4.0,0.901,453.0,59146.0,0.812
realtora,"R'S OWN PREVIOUS KNOWLEDGE MADE R CHOOSE",1.691,1.0,2.0,0.464,165.0,59434.0,0.215
realtorb,"A FRIEND-RELATIVE RECOMMENDED R CHOOSE",1.626,1.0,2.0,0.485,182.0,59417.0,0.235
realtorc,"AN ACQUAINTANCE RECOMMENDED R CHOOSE",1.926,1.0,2.0,0.263,162.0,59437.0,0.069
realtord,"GENERAL REPUTATION MADE R CHOOSE",1.852,1.0,2.0,0.356,162.0,59437.0,0.127
realtore,"I SAW THEIR ADVERTISEMENT MADE R CHOOSE",1.596,1.0,2.0,0.492,178.0,59421.0,0.242
realtorf,"CONVENIENCE MADE R CHOOSE THE REALTOR",1.679,1.0,2.0,0.468,165.0,59434.0,0.219
realtor1,"WHAT WAS THE MOST IMPORTANT REASON?",2.725,1.0,6.0,1.908,40.0,59559.0,3.64
relagent,"YOUR RELATIONSHIP TO THE REAL ESTATE AGENT",4.133,1.0,5.0,1.332,218.0,59381.0,1.775
warrntyh,"DID THE SELLER PROVIDE ANY WARRANTY",2.555,1.0,3.0,0.659,420.0,59179.0,0.434
sathome,"HOW SATISFIED WITH YOUR PURCHASE",2.442,1.0,3.0,0.584,448.0,59151.0,0.341
lawyer,"HIRED A LAWYER IN THE PAST 10 YRS?",1.55,1.0,2.0,0.498,1444.0,58155.0,0.248
lawyera,"MY OWN PREVIOUS KNOWLEDGE OF THE FIRM",1.635,1.0,2.0,0.482,539.0,59060.0,0.232
lawyerb,"A FRIEND OR RELATIVE RECOMMENDED THEM",1.492,1.0,2.0,0.5,549.0,59050.0,0.25
lawyerc,"AN ACQUAINTANCE RECOMMENDED THEM.",1.783,1.0,2.0,0.413,516.0,59083.0,0.17
lawyerd,"GENERAL REPUTATION IN THE COMMUNITY",1.748,1.0,2.0,0.435,523.0,59076.0,0.189
lawyere,"I SAW THEIR ADVERTISEMENT",1.857,1.0,2.0,0.35,505.0,59094.0,0.122
lawyerf,"I SEARCHED FOR THE BEST PRICE.",1.91,1.0,2.0,0.287,498.0,59101.0,0.082
lawyerg,"CONVENIENCE",1.792,1.0,2.0,0.407,173.0,59426.0,0.166
lawyer1,"WHAT WAS THE MOST IMPORTANT REASON?",2.696,1.0,7.0,1.563,158.0,59441.0,2.442
rellaw,"RELATIONSHIP TO THE ATTORNEY",4.16,1.0,5.0,1.212,645.0,58954.0,1.47
satlawyr,"HOW SATISFIED WITH THE LEGAL SERVICES",2.252,1.0,3.0,0.712,643.0,58956.0,0.507
fixhome,"HOME MAINTENANCE SERVICES PAST 10 YEARS?",1.618,1.0,2.0,0.486,1444.0,58155.0,0.236
fixera,"MY OWN PREVIOUS KNOWLEDGE OF THE FIRM",1.615,1.0,2.0,0.487,439.0,59160.0,0.237
fixerb,"A FRIEND OR RELATIVE RECOMMENDED THEM",1.552,1.0,2.0,0.498,453.0,59146.0,0.248
fixerc,"AN ACQUAINTANCE RECOMMENDED THEM.",1.825,1.0,2.0,0.381,405.0,59194.0,0.145
fixerd,"GENERAL REPUTATION IN THE COMMUNITY",1.704,1.0,2.0,0.457,415.0,59184.0,0.209
fixere,"I SAW THEIR ADVERTISEMENT",1.732,1.0,2.0,0.443,418.0,59181.0,0.197
fixerf,"I SEARCHED FOR THE BEST PRICE",1.702,1.0,2.0,0.458,423.0,59176.0,0.21
fixer1,"WHAT WAS THE MOST IMPORTANT REASON?",3.509,1.0,6.0,2.016,171.0,59428.0,4.063
relfixer,"RELATIONSHIP TO THE PERSON WHO DID THE WORK",4.102,1.0,5.0,1.281,547.0,59052.0,1.642
satfixes,"HOW SATISFIED WERE YOU WITH THE WORK",2.193,1.0,3.0,0.613,548.0,59051.0,0.376
borrowed,"HAVE YOU BORROWED $100+ FROM ANOTHER PERSON",1.79,1.0,2.0,0.408,732.0,58867.0,0.166
wholoand,"FROM WHOM DID YOU BORROW THIS MONEY?",2.481,1.0,6.0,1.478,154.0,59445.0,2.186
sellbed,"WOULD YOU RATHER SELL BEDROOM FURNITURE",2.921,1.0,5.0,1.108,718.0,58881.0,1.228
